song_id,file_name,artist,song_title
1,1.mp3,2 Chainz+Gucci Mane+Quavo,Good Drank (Explicit)
4,4.mp3,21 Savage+Metro Boomin+Future,X Bitch (feat. Future)
5,5.mp3,21 Savage+Metro Boomin,No Heart
6,6.mp3,21 Savage,Red Opps (Explicit)
7,7.mp3,5 Seconds Of Summer,Girls Talk Boys
8,8.mp3,6LACK,PRBLMS
9,9.mp3,A Boogie Wit Da Hoodie+Dj SpinKing,Timeless (Explicit)
10,10.mp3,A Boogie Wit Da Hoodie+Kodak Black,Drowning (Explicit)
11,11.mp3,A Boogie Wit Da Hoodie,My Shit
12,12.mp3,A Tribe Called Quest,We The People....
13,13.mp3,AJR,Weak
14,14.mp3,Adam Wakefield,I'm Sorry (Live)
15,15.mp3,Adam Wakefield,Lonesome Broken and Blue (Live)
16,16.mp3,Adam Wakefield,When I Call Your Name (Live)
17,17.mp3,Adele,Hello
18,18.mp3,Adele,Send My Love (To Your New Lover)
19,19.mp3,Adele,Water Under The Bridge
20,20.mp3,Al Jarreau,We're In This Love Together
21,21.mp3,Alan Walker+Iselin Solheim,Faded
23,23.mp3,Alessia Cara,How Far I'll Go(Alessia Cara Version)
25,25.mp3,Alessia Cara,Scars To Your Beautiful
26,26.mp3,Alessia Cara,Wild Things (NuKid Remix)
28,28.mp3,Alex Da Kid,Not Easy
29,29.mp3,Alisan Porter,Down That Road (Live)
30,30.mp3,Alisan Porter,Somewhere (Live)
31,31.mp3,Aminé,Caroline (Explicit)
32,32.mp3,Andra Day,Rise Up
33,33.mp3,Andy Grammer,Fresh Eyes
34,34.mp3,Andy Williams,It's the Most Wonderful Time of the Year
35,35.mp3,Anna Kendrick+Justin Timberlake,True Colors
37,37.mp3,Anne-Marie,Marie-Alarm
38,38.mp3,Anne-Marie,Marie-Ciao Adios
39,39.mp3,Ansel Elgort,Thief
40,40.mp3,Ariana Grande+John Legend,Beauty and the Beast
42,42.mp3,Ariana Grande,Dangerous Woman
43,43.mp3,Ariana Grande,One Last Time
44,44.mp3,Artists Of Then+Now & Forever,Forever Country
46,46.mp3,Ayo & Teo,Rolex
47,47.mp3,Baby Bash,Suga Suga (Album Version)
48,48.mp3,Band Aid,Do They Know It's Christmas?
49,49.mp3,Bastille,Good Grief
50,50.mp3,Beastie Boys,Fight For Your Right
51,51.mp3,Bebe Rexha,I Got You
52,52.mp3,Belly+The Weeknd,Might Not
54,54.mp3,Ben Rector,Brand New
55,55.mp3,Big Sean+Eminem,No Favors
56,56.mp3,Big Sean,Blessings (Explicit)
57,57.mp3,Big Sean,Bounce Back
58,58.mp3,Big Sean,Halfway Off the Balcony
59,59.mp3,Big Sean,Jump Out the Window
60,60.mp3,Big Sean,Light
61,61.mp3,Big Sean,Moves
63,63.mp3,Big Sean,Owe Me
64,64.mp3,Big Sean,Sacrifices
65,65.mp3,Billboard Masters-Sweatshirt ,Sweatshirt - Tribute to Jacob Sartorius
66,66.mp3,Billy Currington,It Don't Hurt Like It Used To
67,67.mp3,Bishop Briggs,River
68,68.mp3,Blackbear,Do Re mi (Explicit)
69,69.mp3,Blake Shelton,A Guy With a Girl
70,70.mp3,Blake Shelton,Came Here to Forget
71,71.mp3,Blake Shelton,Every Time I Hear That Song
72,72.mp3,Blake Shelton,Go Ahead and Break My Heart
73,73.mp3,Blake Shelton,She's Got a Way With Words
74,74.mp3,Blink-182,182-Bored To Death
75,75.mp3,Blink-182,182-Rabbit Hole
76,76.mp3,Bob Marley+The Wailers+LVNDSCAPE+Leon Bolier,Is This Love (Extended Mix)
78,78.mp3,Bobby Helms,Jingle Bell Rock
79,79.mp3,Bon Jovi,Livin' On A Prayer
80,80.mp3,Brad Paisley+Demi Lovato,Without a Fight
81,81.mp3,Brad Paisley,Today
83,83.mp3,Brantley Gilbert,The Weekend
84,84.mp3,Brenda Lee-Rockin' Around The Christmas Tree (Re,Rockin' Around The Christmas Tree (Re-Recorded Version)
85,85.mp3,Brenda Lee,Rockin' Around the Christmas Tree
86,86.mp3,Brett Eldredge,Somethin' I'm Good At
87,87.mp3,Brett Eldredge,Wanna Be That Song
88,88.mp3,Brett Young,In Case You Didn't Know
89,89.mp3,Brett Young,Sleep Without You
90,90.mp3,Britney Spears+G-Eazy,Eazy-Make Me...
91,91.mp3,Britney Spears+Tinashe,Slumber Party (Explicit)
92,92.mp3,Britney Spears,Make Me...
93,93.mp3,Broadway for Orlando,What the World Needs Now Is Love
94,94.mp3,Brooklyn and Bailey,Dance Like Me
